site,season,spm,oc_percent
P1,dry,30.18,
P2,dry,26.81,
P3,dry,16.73,
P4,dry,33.72,
P5,dry,27.27,
P6,dry,34.26,
P7,dry,111.45,
P1,dry,85.37,32.13
P2,dry,85.14,28.44
P3,dry,41.33,24.88
P4,dry,52.91,15.85
P5,dry,56.18,35.49
P6,dry,96.89,23.43
P7,dry,37.56,22.56
P1,dry,62.44,20
P2,dry,58.67,27.63
P3,dry,71.56,22
P4,dry,70.89,12.7
P5,dry,78.44,12.81
P6,dry,58.67,21.61
P7,dry,79.7,18.3
P1,dry,58.67,27
P2,dry,57.33,29.16
P3,dry,55.56,30.16
P4,dry,69.56,14.36
P5,dry,74,13.72
P6,dry,144.33,22
P7,dry,67,23.88
P1,wet,61.5,14.97
P2,wet,65.5,27.23
P3,wet,65.5,19.98
P4,wet,67.25,14.97
P5,wet,80,12.12
P6,wet,52,19.97
P7,wet,35.5,26.58
P1,wet,55.09,25.57
P2,wet,48.33,39.07
P3,wet,37,19.38
P4,wet,62.5,15.23
P5,wet,63.75,22.96
P6,wet,37.5,28.95
P7,wet,23.75,20.88
P1,wet,46.25,11.71
P2,wet,53.25,21.32
P3,wet,57.5,16.71
P4,wet,66.25,12.08
P5,wet,70.75,13.57
P6,wet,33.5,15.06
P7,wet,47.88,8.78
P1,wet,53.09,4.19
P2,wet,62.69,30.03
P3,wet,59.6,9.77
P4,wet,60.25,5.65
P5,wet,78,4.96
P6,wet,44.86,4.06
P7,wet,45,3.93
